id,url,cohort,expected_identity
1,https://www.getyourguide.com/,travel_marketplace,marketplace_or_travel_booking
2,https://www.viator.com/,travel_marketplace,marketplace_or_travel_booking
3,https://www.musement.com/,travel_marketplace,marketplace_or_travel_booking
4,https://www.tiqets.com/,travel_marketplace,marketplace_or_travel_booking
5,https://www.klook.com/,travel_marketplace,marketplace_or_travel_booking
6,https://feverup.com/,travel_marketplace,marketplace_or_travel_booking
7,https://wecandoo.fr/,travel_marketplace,marketplace_or_experience_booking
8,https://www.smartbox.com/,travel_marketplace,ecommerce_or_experience_booking
9,https://www.funbooker.com/,travel_marketplace,marketplace_or_experience_booking
10,https://www.airbnb.com/,travel_marketplace,marketplace_or_travel_booking
11,https://www.thewhiskyexchange.com/,wine_retail,ecommerce_specialty_retail
12,https://www.bbr.com/,wine_retail,ecommerce_specialty_retail
13,https://www.majestic.co.uk/,wine_retail,ecommerce_specialty_retail
14,https://www.laithwaites.co.uk/,wine_retail,ecommerce_specialty_retail
15,https://www.nakedwines.com/,wine_retail,ecommerce_specialty_retail
16,https://www.cambridgewine.com/,wine_retail,ecommerce_specialty_retail
17,https://www.vinatis.com/,wine_retail,ecommerce_specialty_retail
18,https://www.millesima.fr/,wine_retail,ecommerce_specialty_retail
19,https://www.tanners-wines.co.uk/,wine_retail,ecommerce_specialty_retail
20,https://www.leaandsandeman.co.uk/,wine_retail,ecommerce_specialty_retail
21,https://qonto.com/,fintech_saas,saas_or_financial_services
22,https://www.shine.fr/,fintech_saas,saas_or_financial_services
23,https://www.revolut.com/,fintech_saas,financial_services_or_fintech
24,https://n26.com/,fintech_saas,financial_services_or_fintech
25,https://wise.com/,fintech_saas,financial_services_or_fintech
26,https://www.pennylane.com/,fintech_saas,saas_or_financial_services
27,https://www.spendesk.com/,fintech_saas,saas_or_financial_services
28,https://payfit.com/,fintech_saas,saas
29,https://alan.com/,fintech_saas,saas_or_financial_services
30,https://www.swan.io/,fintech_saas,saas_or_financial_services
31,https://www.pretto.fr/,comparison_finance,financial_services_or_lead_generation
32,https://www.meilleurtaux.com/,comparison_finance,financial_services_or_comparison
33,https://www.papernest.com/,comparison_finance,service_marketplace_or_lead_generation
34,https://hellosafe.co.uk/,comparison_finance,financial_publisher_or_comparison
35,https://www.lesfurets.com/,comparison_finance,financial_services_or_comparison
36,https://www.assurland.com/,comparison_finance,financial_services_or_comparison
37,https://www.moneysupermarket.com/,comparison_finance,financial_publisher_or_comparison
38,https://www.comparethemarket.com/,comparison_finance,financial_services_or_comparison
39,https://www.habito.com/,comparison_finance,financial_services_or_lead_generation
40,https://mojomortgages.com/,comparison_finance,financial_services_or_lead_generation
41,https://www.ikea.com/,general_retail,ecommerce_general_retail
42,https://www.leroymerlin.fr/,general_retail,ecommerce_general_retail
43,https://www.decathlon.com/,general_retail,ecommerce_general_retail
44,https://www.maisonsdumonde.com/,general_retail,ecommerce_general_retail
45,https://www.habitat.fr/,general_retail,ecommerce_general_retail
46,https://www.johnlewis.com/,general_retail,ecommerce_general_retail
47,https://www.argos.co.uk/,general_retail,ecommerce_general_retail
48,https://www.fnac.com/,general_retail,ecommerce_general_retail
49,https://www.darty.com/,general_retail,ecommerce_general_retail
50,https://www.castorama.fr/,general_retail,ecommerce_general_retail
